product;variant;variant id;barcode was;barcode nu;sku was;sku nu;resultaat
Alka® Spermidine Forte;Default Title;53869108330831;;8718546785320;;AV240.2.6.NL;ok
Alka® BasenCaps Magnesium;Default Title;53869094764879;;8718546781797;;AV225.1.3.NL;ok
Alka® BasenCaps Calcium;Default Title;53868854182223;;8718546781544;;AV200.1.2.NL;ok
Alka Basische Scrub pH 7,6;Default Title;47939053355343;8718546785009;8718546785009;;AV320.2.1.NL;ok
Alka® Zuur-base druppels;Default Title;47939007873359;8718546780547;8718546780547;;AV100.1.1.NL;ok
Alka Badzout;250 GR;43506269454571;8718546782121;8718546782121;;AV300.1.5.NL;ok
Alka Badzout;600 GR;43506269487339;8718546780165;8718546780165;;AV300.1.0.NL;ok
Alka Badzout;1200 GR;43506269520107;8718546782046;8718546782046;;AV300.1.1.NL;ok
Alka Badzout;2400 GR;43506269552875;8718546780196;8718546780196;;AV300.1.3.NL;ok
Alka Créme;50 ML;43506257395947;8718546780011;8718546780011;;AV310.6.1.NL;ok
Alka Créme;150 ML;43506257428715;8718546780042;8718546780042;;AV310.5.1.NL;ok
Alka Deo;Original (75ml);43506251268331;8718546781285;8718546781285;;AV330.2.1.NL;ok
Alka Deo;0% Parfum (75ml);53867790729551;;8718546781964;;AV330.4.1.NL;ok
Alka Deo;Flower Blossom (75ml);53867790762319;;8718546781872;;AV330.5.1.NL;ok
Alka Deo;Fresh Cotton (75ml);53867790795087;;8718546781902;;AV330.6.1.NL;ok
Alka Deo;Into the Woods (75ml);53867790827855;;8718546781933;;AV330.7.1.NL;ok
Alka® BasenCaps Original;Default Title;43506223481067;8718546781049;8718546781049;;AV150.1.3.NL;ok
