onze handle;ons product;onze prijs;onze sku;onze barcode;oordeel;barcode (ean);variantcode;artikel bij alka;adviesprijs alka;dagprijs alka;verschil met advies;naamgelijkenis;toelichting;bron
alka®-spermidine-forte;Alka® Spermidine Forte;29,95;AV240.2.6.NL;8718546785320;handmatig;8718546785320;AV240.2.6.NL;Alka® Spermidine - 60 capsules;29,95;23,96;+0,00;1,00;zelfde spermidine-chlorellacomplex, Alka liet 'Forte' vallen;https://www.alka.nl/producten/alka-spermidine
alka®-basencaps-magnesium;Alka® BasenCaps Magnesium;26,95;AV225.1.3.NL;8718546781797;zeker;8718546781797;AV225.1.3.NL;Alka® BasenCaps Magnesium - 60 capsules;26,95;21,56;+0,00;0,76;;https://www.alka.nl/producten/alka-basencaps-magnesium
alka®-basencaps-calcium;Alka® BasenCaps Calcium;26,95;AV200.1.2.NL;8718546781544;zeker;8718546781544;AV200.1.2.NL;Alka® BasenCaps Calcium - 60 capsules;26,95;21,56;+0,00;0,74;;https://www.alka.nl/producten/alka-basencaps-calcium
alka-basische-scrub-ph-7-6;Alka Basische Scrub pH 7,6;24,95;AV320.2.1.NL;8718546785009;handmatig;8718546785009;AV320.2.1.NL;Alka® Scrub - 250g;24,95;19,96;+0,00;1,00;zelfde product, Alka noemt het nu 'Alka® Scrub - 250g';https://www.alka.nl/producten/alka-scrub
alka-druppels;Alka® Zuur-base druppels;29,95;AV100.1.1.NL;8718546780547;zeker;8718546780547;AV100.1.1.NL;Alka® Zuur-Base Druppels - 55ml;29,95;23,96;+0,00;0,88;;https://www.alka.nl/producten/alka-zuur-base-druppels
alka-badzout;Alka Badzout 250 GR;10,75;AV300.1.5.NL;8718546782121;handmatig;8718546782121;AV300.1.5.NL;Alka® Mineralenzout - reisverpakking - 5 x 50g;10,75;8,60;+0,00;1,00;250 gram = de reisverpakking 5 x 50g, zelfde prijs;https://www.alka.nl/producten/alka-mineralenzout
alka-badzout;Alka Badzout 600 GR;16,45;AV300.1.0.NL;8718546780165;zeker;8718546780165;AV300.1.0.NL;Alka® Mineralenzout - 600g;16,45;13,16;+0,00;0,62;;https://www.alka.nl/producten/alka-mineralenzout
alka-badzout;Alka Badzout 1200 GR;26,95;AV300.1.1.NL;8718546782046;zeker;8718546782046;AV300.1.1.NL;Alka® Mineralenzout - 1.200g;26,95;21,56;+0,00;0,63;;https://www.alka.nl/producten/alka-mineralenzout
alka-badzout;Alka Badzout 2400 GR;42,95;AV300.1.3.NL;8718546780196;zeker;8718546780196;AV300.1.3.NL;Alka® Mineralenzout - 2.400g;42,95;34,36;+0,00;0,63;;https://www.alka.nl/producten/alka-mineralenzout
alka-creme;Alka Créme 50 ML;16,45;AV310.6.1.NL;8718546780011;zeker;8718546780011;AV310.6.1.NL;Alka® Crème - 50ml;16,45;13,16;+0,00;0,95;;https://www.alka.nl/producten/alka-creme
alka-creme;Alka Créme 150 ML;32,35;AV310.5.1.NL;8718546780042;zeker;8718546780042;AV310.5.1.NL;Alka® Crème - 150ml;32,35;25,88;+0,00;0,96;;https://www.alka.nl/producten/alka-creme
alka-deo;Alka Deo Original (75ml);14,95;AV330.2.1.NL;8718546781285;zeker;8718546781285;AV330.2.1.NL;Alka® Deo - Original - 75ml;14,95;11,96;+0,00;1,00;;https://www.alka.nl/producten/alka-deo
alka-deo;Alka Deo 0% Parfum (75ml);14,95;AV330.4.1.NL;8718546781964;zeker;8718546781964;AV330.4.1.NL;Alka® Deo - 0% Parfum - 75ml;14,95;11,96;+0,00;1,00;;https://www.alka.nl/producten/alka-deo
alka-deo;Alka Deo Flower Blossom (75ml);14,95;AV330.5.1.NL;8718546781872;zeker;8718546781872;AV330.5.1.NL;Alka® Deo - Flower Blossom - 75ml;14,95;11,96;+0,00;1,00;;https://www.alka.nl/producten/alka-deo
alka-deo;Alka Deo Fresh Cotton (75ml);14,95;AV330.6.1.NL;8718546781902;zeker;8718546781902;AV330.6.1.NL;Alka® Deo - Fresh Cotton - 75ml;14,95;11,96;+0,00;1,00;;https://www.alka.nl/producten/alka-deo
alka-deo;Alka Deo Into the Woods (75ml);14,95;AV330.7.1.NL;8718546781933;zeker;8718546781933;AV330.7.1.NL;Alka® Deo - Into the Woods - 75ml;14,95;11,96;+0,00;1,00;;https://www.alka.nl/producten/alka-deo
alka-basische-kruiden-thee;Alka Basische Kruiden Thee 48 zakjes;16,45;;8718546783241;handmatig;8718546783029;AV250.2.2.NL;Alka® Thee - 48 filterzakjes;14,95;11,96;+1,50;1,00;"LET OP: staat al op 8718546783241, een EAN die Alka nergens meer voert (oude versie). 48 zakjes = 48 filterzakjes; onze prijs ligt €1,50 hoger";https://www.alka.nl/producten/alka-thee
