ean;variantcode;artikel;soort;adviesprijs;prijs 1 stuk;prijs p/s bij 2;korting bij 2 (%);prijs p/s bij 3;korting bij 3 (%);pakket normaal;pakket besparing;pakket inhoud;bron
8718546781544;AV200.1.2.NL;Alka® BasenCaps Calcium - 60 capsules;artikel;26,95;21,56;;;;;;;;https://www.alka.nl/producten/alka-basencaps-calcium
8718546781797;AV225.1.3.NL;Alka® BasenCaps Magnesium - 60 capsules;artikel;26,95;21,56;;;;;;;;https://www.alka.nl/producten/alka-basencaps-magnesium
8718546781049;AV150.1.3.NL;Alka® BasenCaps Original - 60 capsules;artikel;26,95;21,56;;;;;;;;https://www.alka.nl/producten/alka-basencaps-original
8718546782466;AV246.1.1.NL;Alka® Bitter - 50ml - Original - biologisch;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-bitter
8718546782541;AV246.2.1.NL;Alka® Bitter - 50ml - 0% Alcohol - biologisch;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-bitter
8718546782503;AV246.1.2.NL;Alka® Bitter - 100ml - Original - biologisch;artikel;24,95;19,96;;;;;;;;https://www.alka.nl/producten/alka-bitter
8718546782589;AV246.2.2.NL;Alka® Bitter - 100ml - 0% Alcohol - biologisch;artikel;24,95;19,96;;;;;;;;https://www.alka.nl/producten/alka-bitter
8718546780011;AV310.6.1.NL;Alka® Crème - 50ml;artikel;16,45;13,16;;;;;;;;https://www.alka.nl/producten/alka-creme
8718546780042;AV310.5.1.NL;Alka® Crème - 150ml;artikel;32,35;25,88;;;;;;;;https://www.alka.nl/producten/alka-creme
8718546781278;AV330.1.1.NL;Alka® Deo - Original - 30ml;artikel;9,95;7,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546782329;AV330.14.1.NL;Alka® Deo - 0% Parfum - 30ml;artikel;9,95;7,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546782237;AV330.15.1.NL;Alka® Deo - Flower Blossom - 30ml;artikel;9,95;7,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546782268;AV330.16.1.NL;Alka® Deo - Fresh Cotton - 30ml;artikel;9,95;7,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546782299;AV330.17.1.NL;Alka® Deo - Into the Woods - 30ml;artikel;9,95;7,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546781285;AV330.2.1.NL;Alka® Deo - Original - 75ml;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546781964;AV330.4.1.NL;Alka® Deo - 0% Parfum - 75ml;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546781872;AV330.5.1.NL;Alka® Deo - Flower Blossom - 75ml;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546781902;AV330.6.1.NL;Alka® Deo - Fresh Cotton - 75ml;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546781933;AV330.7.1.NL;Alka® Deo - Into the Woods - 75ml;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-deo
8718546782732;AV854.NL;Alka® Deo geurenpakket 5 stuks - 30ml;voordeelpakket;49,75;39,80;;;;;49,75;9,95;"1x Alka® Deo - Original - 30ml (€ 9.95); 1x Alka® Deo - 0% Parfum - 30ml (€ 9.95); 1x Alka® Deo - Flower Blossom - 30ml (€ 9.95); 1x Alka® Deo - Fresh Cotton - 30ml (€ 9.95); 1x Alka® Deo - Into the Woods - 30ml (€ 9.95)";https://www.alka.nl/producten/alka-deo-geurenpakket-5-stuks-30ml
8718546782749;AV855.NL;Alka® Deo geurenpakket 5 stuks - 75ml;voordeelpakket;74,75;59,80;;;;;74,75;14,95;"1x Alka® Deo - Original - 75ml (€ 14.95); 1x Alka® Deo - 0% Parfum - 75ml (€ 14.95); 1x Alka® Deo - Flower Blossom - 75ml (€ 14.95); 1x Alka® Deo - Fresh Cotton - 75ml (€ 14.95); 1x Alka® Deo - Into the Woods - 75ml (€ 14.95)";https://www.alka.nl/producten/alka-deo-geurenpakket-5-stuks-75ml
