ean;variantcode;titel;optie;soort;woorden;gebruik;ingredienten;afbeeldingen;adviesprijs;dagprijs;op_voorraad;bron_url
8718546781544;AV200.1.2.NL;Alka® BasenCaps Calcium;60 capsules;artikel;486;ja;ja;13;26,95;21,56;ja;https://www.alka.nl/producten/alka-basencaps-calcium
8718546781797;AV225.1.3.NL;Alka® BasenCaps Magnesium;60 capsules;artikel;523;ja;ja;13;26,95;21,56;ja;https://www.alka.nl/producten/alka-basencaps-magnesium
8718546781049;AV150.1.3.NL;Alka® BasenCaps Original;60 capsules;artikel;526;ja;ja;13;26,95;21,56;ja;https://www.alka.nl/producten/alka-basencaps-original
8718546782466;AV246.1.1.NL;Alka® Bitter;Original - 50ml;artikel;666;ja;ja;13;14,95;11,96;ja;https://www.alka.nl/producten/alka-bitter
8718546782541;AV246.2.1.NL;Alka® Bitter;0% alcohol - 50ml;artikel;666;ja;ja;13;14,95;11,96;ja;https://www.alka.nl/producten/alka-bitter
8718546782503;AV246.1.2.NL;Alka® Bitter;Original - 100ml;artikel;666;ja;ja;13;24,95;19,96;ja;https://www.alka.nl/producten/alka-bitter
8718546782589;AV246.2.2.NL;Alka® Bitter;0% alcohol - 100ml;artikel;666;ja;ja;13;24,95;19,96;ja;https://www.alka.nl/producten/alka-bitter
8718546780011;AV310.6.1.NL;Alka® Crème;50ml;artikel;1181;ja;ja;14;16,45;13,16;ja;https://www.alka.nl/producten/alka-creme
8718546780042;AV310.5.1.NL;Alka® Crème;150ml;artikel;1181;ja;ja;14;32,35;25,88;ja;https://www.alka.nl/producten/alka-creme
8718546781278;AV330.1.1.NL;Alka® Deo;Original - 30ml;artikel;1143;ja;ja;19;9,95;7,96;ja;https://www.alka.nl/producten/alka-deo
8718546782329;AV330.14.1.NL;Alka® Deo;0% Parfum - 30ml;artikel;1143;ja;ja;19;9,95;7,96;ja;https://www.alka.nl/producten/alka-deo
8718546782237;AV330.15.1.NL;Alka® Deo;Flower Blossom - 30ml;artikel;1143;ja;ja;19;9,95;7,96;ja;https://www.alka.nl/producten/alka-deo
8718546782268;AV330.16.1.NL;Alka® Deo;Fresh Cotton - 30ml;artikel;1143;ja;ja;19;9,95;7,96;ja;https://www.alka.nl/producten/alka-deo
8718546782299;AV330.17.1.NL;Alka® Deo;Into the Woods - 30ml;artikel;1143;ja;ja;19;9,95;7,96;ja;https://www.alka.nl/producten/alka-deo
8718546781285;AV330.2.1.NL;Alka® Deo;Original - 75ml;artikel;1143;ja;ja;19;14,95;11,96;ja;https://www.alka.nl/producten/alka-deo
8718546781964;AV330.4.1.NL;Alka® Deo;0% Parfum - 75ml;artikel;1143;ja;ja;19;14,95;11,96;ja;https://www.alka.nl/producten/alka-deo
8718546781872;AV330.5.1.NL;Alka® Deo;Flower Blossom - 75ml;artikel;1143;ja;ja;19;14,95;11,96;ja;https://www.alka.nl/producten/alka-deo
